date	total_count	lineage_count	total_count_rolling	lineage_count_rolling	proportion	proportion_ci_lower	proportion_ci_upper	dateTime	source
"2020-11-03"	26	1	26	1	0.038461538461538464	0.004181774944604056	0.16603455828794433	"2020-11-03T03:00:00.000Z"	
"2020-11-04"	24	0	25	0.5	0.02	0.000019445770898158813	0.0946827641095835	"2020-11-04T03:00:00.000Z"	
"2020-11-05"	14	0	21.333333333333332	0.3333333333333333	0.015625	0.00002310564264915348	0.11147031619304093	"2020-11-05T03:00:00.000Z"	
"2020-11-06"	9	0	18.25	0.25	0.0136986301369863	0.00002690311730090928	0.12855821182175955	"2020-11-06T03:00:00.000Z"	
"2020-11-07"	2	0	15	0.2	0.013333333333333334	0.000032194144323726923	0.15181666211439768	"2020-11-07T03:00:00.000Z"	
"2020-11-08"	1	0	12.666666666666666	0.16666666666666666	0.013157894736842105	0.0000370519332987658	0.17261944528205697	"2020-11-08T03:00:00.000Z"	
"2020-11-09"	12	0	12.571428571428571	0.14285714285714285	0.011363636363636364	0.0000370519332987658	0.17261944528205697	"2020-11-09T03:00:00.000Z"	
"2020-11-10"	13	0	10.714285714285714	0	0	0.00004363579814218975	0.19999456902620805	"2020-11-10T03:00:00.000Z"	
"2020-11-11"	10	0	8.714285714285714	0	0	0.00005306405341849297	0.23761009863290297	"2020-11-11T03:00:00.000Z"	
"2020-11-12"	8	0	7.857142857142857	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-12T03:00:00.000Z"	
"2020-11-13"	11	0	8.142857142857142	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-13T03:00:00.000Z"	
"2020-11-14"	3	0	8.285714285714286	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-14T03:00:00.000Z"	
"2020-11-15"	6	0	9	0	0	0.00005306405341849297	0.23761009863290297	"2020-11-15T03:00:00.000Z"	
"2020-11-16"	8	0	8.428571428571429	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-16T03:00:00.000Z"	
"2020-11-17"	10	0	8	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-17T03:00:00.000Z"	
"2020-11-18"	10	0	8	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-18T03:00:00.000Z"	
"2020-11-19"	10	0	8.285714285714286	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-19T03:00:00.000Z"	
"2020-11-20"	11	0	8.285714285714286	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-20T03:00:00.000Z"	
"2020-11-21"	4	0	8.428571428571429	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-21T03:00:00.000Z"	
"2020-11-22"	2	0	7.857142857142857	0	0	0.00005949030289440227	0.26221724871718577	"2020-11-22T03:00:00.000Z"	
"2020-11-23"	24	0	10.142857142857142	0	0	0.00004789043315758197	0.21719626750921056	"2020-11-23T03:00:00.000Z"	
"2020-11-24"	31	0	13.142857142857142	0	0	0.0000370519332987658	0.17261944528205697	"2020-11-24T03:00:00.000Z"	
"2020-11-25"	31	0	16.142857142857142	0	0	0.000030213479978023642	0.1431841379314448	"2020-11-25T03:00:00.000Z"	
"2020-11-26"	25	0	18.285714285714285	0	0	0.00002690311730090928	0.12855821182175955	"2020-11-26T03:00:00.000Z"	
"2020-11-27"	29	0	20.857142857142858	0	0	0.00002310564264915348	0.11147031619304093	"2020-11-27T03:00:00.000Z"	
