date	total_count	lineage_count	total_count_rolling	lineage_count_rolling	proportion	proportion_ci_lower	proportion_ci_upper	dateTime	source
"2020-12-21"	44	2	44	2	0.045454545454545456	0.009564605686197613	0.13791533543291212	"2020-12-21T03:00:00.000Z"	
"2020-12-22"	21	2	32.5	2	0.06153846153846154	0.013214629957163446	0.1857195369965653	"2020-12-22T03:00:00.000Z"	
"2020-12-23"	33	0	32.666666666666664	1.3333333333333333	0.04081632653061225	0.003289329622616079	0.1330236728178359	"2020-12-23T03:00:00.000Z"	
"2020-12-24"	5	0	25.75	1	0.038834951456310676	0.004181774944604056	0.16603455828794433	"2020-12-24T03:00:00.000Z"	
"2020-12-25"	1	0	20.8	0.8	0.038461538461538464	0.005187043107902128	0.2017559683216834	"2020-12-25T03:00:00.000Z"	
"2020-12-26"	8	0	18.666666666666668	0.6666666666666666	0.03571428571428571	0.005738899484810237	0.22072924806695837	"2020-12-26T03:00:00.000Z"	
"2020-12-27"	4	0	16.571428571428573	0.5714285714285714	0.03448275862068965	0.0064221867949748705	0.24361551714490204	"2020-12-27T03:00:00.000Z"	
"2020-12-28"	29	0	14.428571428571429	0.2857142857142857	0.019801980198019802	0.00003445267180200587	0.16155330451419395	"2020-12-28T03:00:00.000Z"	
"2020-12-29"	10	0	12.857142857142858	0	0	0.0000370519332987658	0.17261944528205697	"2020-12-29T03:00:00.000Z"	
"2020-12-30"	8	0	9.285714285714286	0	0	0.00005306405341849297	0.23761009863290297	"2020-12-30T03:00:00.000Z"	
"2020-12-31"	4	2	9.142857142857142	0.2857142857142857	0.03125	0.00005306405341849297	0.23761009863290297	"2020-12-31T03:00:00.000Z"	
"2021-01-01"	5	0	9.714285714285714	0.2857142857142857	0.029411764705882353	0.00004789043315758197	0.21719626750921056	"2021-01-01T03:00:00.000Z"	
"2021-01-02"	8	0	9.714285714285714	0.2857142857142857	0.029411764705882353	0.00004789043315758197	0.21719626750921056	"2021-01-02T03:00:00.000Z"	
"2021-01-03"	4	0	9.714285714285714	0.2857142857142857	0.029411764705882353	0.00004789043315758197	0.21719626750921056	"2021-01-03T03:00:00.000Z"	
"2021-01-04"	47	1	12.285714285714286	0.42857142857142855	0.03488372093023255	0.00004007531007659888	0.18530593831248504	"2021-01-04T03:00:00.000Z"	
"2021-01-05"	37	2	16.142857142857142	0.7142857142857143	0.04424778761061947	0.006828722055886862	0.2569214298857737	"2021-01-05T03:00:00.000Z"	
"2021-01-06"	22	2	18.142857142857142	1	0.05511811023622047	0.006061344165326898	0.231611808489526	"2021-01-06T03:00:00.000Z"	
"2021-01-07"	29	4	21.714285714285715	1.2857142857142858	0.05921052631578948	0.00494909354918625	0.19343736468330985	"2021-01-07T03:00:00.000Z"	
"2021-01-08"	31	6	25.428571428571427	2.142857142857143	0.08426966292134831	0.016999373233162675	0.2326918751968874	"2021-01-08T03:00:00.000Z"	
"2021-01-09"	11	2	25.857142857142858	2.4285714285714284	0.09392265193370165	0.016331135247172317	0.22458446469479065	"2021-01-09T03:00:00.000Z"	
"2021-01-10"	9	0	26.571428571428573	2.4285714285714284	0.09139784946236558	0.015713463540086743	0.2170204216209073	"2021-01-10T03:00:00.000Z"	
"2021-01-11"	38	3	25.285714285714285	2.7142857142857144	0.10734463276836159	0.03498475131846279	0.28672754139840795	"2021-01-11T03:00:00.000Z"	
"2021-01-12"	21	6	23	3.2857142857142856	0.14285714285714285	0.03814675538033277	0.3086623662204163	"2021-01-12T03:00:00.000Z"	
"2021-01-13"	19	1	22.571428571428573	3.142857142857143	0.13924050632911392	0.03814675538033277	0.3086623662204163	"2021-01-13T03:00:00.000Z"	
"2021-01-14"	19	3	21.142857142857142	3	0.14189189189189189	0.04193794896945422	0.3341869696660853	"2021-01-14T03:00:00.000Z"	
"2021-01-15"	36	3	21.857142857142858	2.5714285714285716	0.11764705882352942	0.03995250885712704	0.3209237783862313	"2021-01-15T03:00:00.000Z"	
"2021-01-16"	9	0	21.571428571428573	2.2857142857142856	0.10596026490066224	0.019378308995704557	0.2609252652520676	"2021-01-16T03:00:00.000Z"	
"2021-01-17"	12	1	22	2.4285714285714284	0.11038961038961038	0.019378308995704557	0.2609252652520676	"2021-01-17T03:00:00.000Z"	
"2021-01-18"	35	1	21.571428571428573	2.142857142857143	0.09933774834437085	0.019378308995704557	0.2609252652520676	"2021-01-18T03:00:00.000Z"	
"2021-01-19"	56	3	26.571428571428573	1.7142857142857142	0.06451612903225806	0.015713463540086743	0.2170204216209073	"2021-01-19T03:00:00.000Z"	
"2021-01-20"	14	1	25.857142857142858	1.7142857142857142	0.06629834254143646	0.016331135247172317	0.22458446469479065	"2021-01-20T03:00:00.000Z"	
"2021-01-21"	25	3	26.714285714285715	1.7142857142857142	0.0641711229946524	0.015713463540086743	0.2170204216209073	"2021-01-21T03:00:00.000Z"	
"2021-01-22"	29	3	25.714285714285715	1.7142857142857142	0.06666666666666667	0.016331135247172317	0.22458446469479065	"2021-01-22T03:00:00.000Z"	
"2021-01-23"	18	0	27	1.7142857142857142	0.06349206349206349	0.015713463540086743	0.2170204216209073	"2021-01-23T03:00:00.000Z"	
"2021-01-24"	13	1	27.142857142857142	1.7142857142857142	0.06315789473684211	0.015713463540086743	0.2170204216209073	"2021-01-24T03:00:00.000Z"	
"2021-01-25"	35	1	27.142857142857142	1.7142857142857142	0.06315789473684211	0.015713463540086743	0.2170204216209073	"2021-01-25T03:00:00.000Z"	
"2021-01-26"	44	0	25.428571428571427	1.2857142857142858	0.050561797752808994	0.0043503968273724825	0.1721329579601225	"2021-01-26T03:00:00.000Z"	
"2021-01-27"	20	2	26.285714285714285	1.4285714285714286	0.05434782608695653	0.004181774944604056	0.16603455828794433	"2021-01-27T03:00:00.000Z"	
"2021-01-28"	22	0	25.857142857142858	1	0.03867403314917127	0.004181774944604056	0.16603455828794433	"2021-01-28T03:00:00.000Z"	
"2021-01-29"	22	0	24.857142857142858	0.5714285714285714	0.022988505747126436	0.0043503968273724825	0.1721329579601225	"2021-01-29T03:00:00.000Z"	
"2021-01-30"	10	0	23.714285714285715	0.5714285714285714	0.024096385542168672	0.004533190127271505	0.17869491879897315	"2021-01-30T03:00:00.000Z"	
"2021-01-31"	16	0	24.142857142857142	0.42857142857142855	0.01775147928994083	0.00002024756671804834	0.09838760438586978	"2021-01-31T03:00:00.000Z"	
"2021-02-01"	39	0	24.714285714285715	0.2857142857142857	0.011560693641618497	0.000019445770898158813	0.0946827641095835	"2021-02-01T03:00:00.000Z"	
"2021-02-02"	24	1	21.857142857142858	0.42857142857142855	0.0196078431372549	0.000022067332398350842	0.10673971791178566	"2021-02-02T03:00:00.000Z"	
"2021-02-03"	29	1	23.142857142857142	0.2857142857142857	0.012345679012345678	0.00002111832201730757	0.10239382809160794	"2021-02-03T03:00:00.000Z"	
"2021-02-04"	18	0	22.571428571428573	0.2857142857142857	0.012658227848101264	0.00002111832201730757	0.10239382809160794	"2021-02-04T03:00:00.000Z"	
"2021-02-05"	31	0	23.857142857142858	0.2857142857142857	0.011976047904191616	0.00002024756671804834	0.09838760438586978	"2021-02-05T03:00:00.000Z"	
"2021-02-06"	9	0	23.714285714285715	0.2857142857142857	0.012048192771084336	0.00002024756671804834	0.09838760438586978	"2021-02-06T03:00:00.000Z"	
"2021-02-07"	14	0	23.428571428571427	0.2857142857142857	0.012195121951219513	0.00002111832201730757	0.10239382809160794	"2021-02-07T03:00:00.000Z"	
"2021-02-08"	38	0	23.285714285714285	0.2857142857142857	0.012269938650306749	0.00002111832201730757	0.10239382809160794	"2021-02-08T03:00:00.000Z"	
"2021-02-09"	46	2	26.428571428571427	0.42857142857142855	0.016216216216216217	0.000018705055066259086	0.09124656340895625	"2021-02-09T03:00:00.000Z"	
"2021-02-10"	38	0	27.714285714285715	0.2857142857142857	0.010309278350515464	0.000017380922536885184	0.08507120003233526	"2021-02-10T03:00:00.000Z"	
"2021-02-11"	39	0	30.714285714285715	0.2857142857142857	0.009302325581395349	0.000015712479537001282	0.07723003565348177	"2021-02-11T03:00:00.000Z"	
"2021-02-12"	15	0	28.428571428571427	0.2857142857142857	0.010050251256281407	0.000017380922536885184	0.08507120003233526	"2021-02-12T03:00:00.000Z"	
"2021-02-13"	2	0	27.428571428571427	0.2857142857142857	0.010416666666666666	0.000018018696079932514	0.08805083151105601	"2021-02-13T03:00:00.000Z"	
"2021-02-14"	3	0	25.857142857142858	0.2857142857142857	0.011049723756906077	0.000018705055066259086	0.09124656340895625	"2021-02-14T03:00:00.000Z"	
"2021-02-15"	66	1	29.857142857142858	0.42857142857142855	0.014354066985645932	0.000016231861223464357	0.07967817381725997	"2021-02-15T03:00:00.000Z"	
"2021-02-16"	10	0	24.714285714285715	0.14285714285714285	0.005780346820809248	0.000019445770898158813	0.0946827641095835	"2021-02-16T03:00:00.000Z"	
"2021-02-17"	18	1	21.857142857142858	0.2857142857142857	0.0130718954248366	0.000022067332398350842	0.10673971791178566	"2021-02-17T03:00:00.000Z"	
"2021-02-18"	6	0	17.142857142857142	0.2857142857142857	0.016666666666666666	0.000028462377723109497	0.1354784378916884	"2021-02-18T03:00:00.000Z"	
"2021-02-19"	34	1	19.857142857142858	0.42857142857142855	0.021582733812949638	0.000024246478459242777	0.11663898290487537	"2021-02-19T03:00:00.000Z"	
"2021-02-20"	4	0	20.142857142857142	0.42857142857142855	0.02127659574468085	0.000024246478459242777	0.11663898290487537	"2021-02-20T03:00:00.000Z"	
"2021-02-21"	3	0	20.142857142857142	0.42857142857142855	0.02127659574468085	0.000024246478459242777	0.11663898290487537	"2021-02-21T03:00:00.000Z"	
"2021-02-22"	10	0	12.142857142857142	0.2857142857142857	0.023529411764705882	0.00004007531007659888	0.18530593831248504	"2021-02-22T03:00:00.000Z"	
"2021-02-23"	16	1	13	0.42857142857142855	0.03296703296703297	0.0000370519332987658	0.17261944528205697	"2021-02-23T03:00:00.000Z"	
"2021-02-24"	18	0	13	0.2857142857142857	0.021978021978021976	0.0000370519332987658	0.17261944528205697	"2021-02-24T03:00:00.000Z"	
"2021-02-25"	8	2	13.285714285714286	0.5714285714285714	0.04301075268817204	0.008429658312213874	0.30714948970669465	"2021-02-25T03:00:00.000Z"	
"2021-02-26"	29	0	12.571428571428571	0.42857142857142855	0.03409090909090909	0.0000370519332987658	0.17261944528205697	"2021-02-26T03:00:00.000Z"	
"2021-02-27"	39	0	17.571428571428573	0.42857142857142855	0.024390243902439022	0.00002690311730090928	0.12855821182175955	"2021-02-27T03:00:00.000Z"	
"2021-02-28"	11	0	18.714285714285715	0.42857142857142855	0.022900763358778622	0.000025505812625695268	0.12230940431991393	"2021-02-28T03:00:00.000Z"	
"2021-03-01"	11	0	18.857142857142858	0.42857142857142855	0.022727272727272724	0.000025505812625695268	0.12230940431991393	"2021-03-01T03:00:00.000Z"	
"2021-03-02"	39	0	22.142857142857142	0.2857142857142857	0.012903225806451613	0.000022067332398350842	0.10673971791178566	"2021-03-02T03:00:00.000Z"	
"2021-03-03"	21	2	22.571428571428573	0.5714285714285714	0.025316455696202528	0.004732019904840341	0.18577516969402785	"2021-03-03T03:00:00.000Z"	
"2021-03-04"	7	0	22.428571428571427	0.2857142857142857	0.012738853503184714	0.000022067332398350842	0.10673971791178566	"2021-03-04T03:00:00.000Z"	
"2021-03-05"	11	0	19.857142857142858	0.2857142857142857	0.014388489208633093	0.000024246478459242777	0.11663898290487537	"2021-03-05T03:00:00.000Z"	
"2021-03-06"	7	0	15.285714285714286	0.2857142857142857	0.018691588785046728	0.000032194144323726923	0.15181666211439768	"2021-03-06T03:00:00.000Z"	
"2021-03-07"	9	0	15	0.2857142857142857	0.019047619047619046	0.000032194144323726923	0.15181666211439768	"2021-03-07T03:00:00.000Z"	
"2021-03-08"	56	4	21.428571428571427	0.8571428571428571	0.04	0.005187043107902128	0.2017559683216834	"2021-03-08T03:00:00.000Z"	
"2021-03-09"	29	2	20	1.1428571428571428	0.05714285714285714	0.005449032581426602	0.21081863624926522	"2021-03-09T03:00:00.000Z"	
"2021-03-10"	12	2	18.714285714285715	1.1428571428571428	0.06106870229007633	0.005738899484810237	0.22072924806695837	"2021-03-10T03:00:00.000Z"	
"2021-03-11"	10	0	19.142857142857142	1.1428571428571428	0.05970149253731343	0.005738899484810237	0.22072924806695837	"2021-03-11T03:00:00.000Z"	
"2021-03-12"	7	0	18.571428571428573	1.1428571428571428	0.06153846153846153	0.005738899484810237	0.22072924806695837	"2021-03-12T03:00:00.000Z"	
"2021-03-13"	5	0	18.285714285714285	1.1428571428571428	0.0625	0.006061344165326898	0.231611808489526	"2021-03-13T03:00:00.000Z"	
"2021-03-14"	12	2	18.714285714285715	1.4285714285714286	0.07633587786259542	0.005738899484810237	0.22072924806695837	"2021-03-14T03:00:00.000Z"	
"2021-03-15"	36	2	15.857142857142858	1.1428571428571428	0.07207207207207207	0.006828722055886862	0.2569214298857737	"2021-03-15T03:00:00.000Z"	
"2021-03-16"	9	0	13	0.8571428571428571	0.06593406593406594	0.008429658312213874	0.30714948970669465	"2021-03-16T03:00:00.000Z"	
"2021-03-19"	1	0	12.6	0.8	0.0634920634920635	0.008429658312213874	0.30714948970669465	"2021-03-19T03:00:00.000Z"	
"2021-03-22"	1	0	3.6666666666666665	0	0	0.000115332788238275	0.4447626176576397	"2021-03-22T03:00:00.000Z"	
"2021-03-23"	1	0	1	0	0	0.00038558098075590136	0.8532536836904249	"2021-03-23T03:00:00.000Z"	
